fold,outer_train_size,outer_test_size,selected_threshold,threshold,tn,fp,fn,tp,precision,recall,f1,accuracy,specificity,cost
0,228,57,0.31000000000000005,0.31000000000000005,8,7,4,38,0.8444444444444444,0.9047619047619048,0.8735632183908046,0.8070175438596491,0.5333333333333333,15.0
1,228,57,0.35000000000000003,0.35000000000000003,4,11,0,42,0.7924528301886793,1.0,0.8842105263157894,0.8070175438596491,0.26666666666666666,11.0
2,228,57,0.34,0.34,7,8,3,39,0.8297872340425532,0.9285714285714286,0.8764044943820225,0.8070175438596491,0.4666666666666667,14.0
3,228,57,0.37000000000000005,0.37000000000000005,12,3,1,41,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9298245614035088,0.8,5.0
4,228,57,0.34,0.34,5,10,6,36,0.782608695652174,0.8571428571428571,0.8181818181818182,0.7192982456140351,0.3333333333333333,22.0
