max_depth,n_estimators,min_child_weight,subsample,colsample_bytree,selected_threshold,fn,fp,cost,recall,precision
2,50,1,1.0,1.0,0.4000000000000001,6,13,25.0,0.9047619047619048,0.8142857142857143
3,50,1,1.0,1.0,0.28,4,16,24.0,0.9365079365079365,0.7866666666666666
4,50,1,1.0,1.0,0.4100000000000001,9,13,31.0,0.8571428571428571,0.8059701492537313
4,100,1,1.0,1.0,0.5500000000000002,8,10,26.0,0.873015873015873,0.8461538461538461
4,100,5,0.8,0.8,0.4600000000000001,5,7,17.0,0.9206349206349206,0.8923076923076924
