method,threshold,reject_zone,precision,recall,f1,fn_count,fp_count,tp_count,tn_count
Simple Threshold,0.50,-,0.9874213836477987,0.7476190476190476,0.8509485094850948,53,2,157,73
Simple Threshold,0.45,-,0.9754601226993865,0.7571428571428571,0.8525469168900804,51,4,159,71
Simple Threshold,0.40,-,0.9757575757575757,0.7666666666666667,0.8586666666666667,49,4,161,71
Simple Threshold,0.35,-,0.9642857142857143,0.7714285714285715,0.8571428571428571,48,6,162,69
Reject Zone,-,[0.40-0.60],0.9757575757575757,0.7666666666666667,0.8586666666666667,49,4,161,71
Reject Zone,-,[0.35-0.65],0.9642857142857143,0.7714285714285715,0.8571428571428571,48,6,162,69
Reject Zone,-,[0.45-0.65],0.9754601226993865,0.7571428571428571,0.8525469168900804,51,4,159,71
