fold,outer_train_size,outer_test_size,selected_threshold,threshold,tn,fp,fn,tp,precision,recall,f1,accuracy,specificity,cost
0,228,57,0.05,0.05,6,9,5,37,0.8043478260869565,0.8809523809523809,0.8409090909090909,0.7543859649122807,0.4,19.0
1,228,57,0.32000000000000006,0.32000000000000006,3,12,5,37,0.7551020408163265,0.8809523809523809,0.8131868131868132,0.7017543859649122,0.2,22.0
2,228,57,0.30000000000000004,0.30000000000000004,10,5,7,35,0.875,0.8333333333333334,0.8536585365853658,0.7894736842105263,0.6666666666666666,19.0
3,228,57,0.30000000000000004,0.30000000000000004,10,5,4,38,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.8421052631578947,0.6666666666666666,13.0
4,228,57,0.28,0.28,5,10,5,37,0.7872340425531915,0.8809523809523809,0.8314606741573034,0.7368421052631579,0.3333333333333333,20.0
