fold,outer_train_size,outer_test_size,selected_threshold,threshold,tn,fp,fn,tp,precision,recall,f1,accuracy,specificity,cost
0,228,57,0.27,0.27,6,9,3,39,0.8125,0.9285714285714286,0.8666666666666667,0.7894736842105263,0.4,15.0
1,228,57,0.36000000000000004,0.36000000000000004,5,10,1,41,0.803921568627451,0.9761904761904762,0.8817204301075269,0.8070175438596491,0.3333333333333333,12.0
2,228,57,0.37000000000000005,0.37000000000000005,11,4,5,37,0.9024390243902439,0.8809523809523809,0.891566265060241,0.8421052631578947,0.7333333333333333,14.0
3,228,57,0.45000000000000007,0.45000000000000007,12,3,5,37,0.925,0.8809523809523809,0.9024390243902439,0.8596491228070176,0.8,13.0
4,228,57,0.45000000000000007,0.45000000000000007,9,6,7,35,0.8536585365853658,0.8333333333333334,0.8433734939759037,0.7719298245614035,0.6,20.0
